geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
757848,Suchożebry,586,52.25948,22.25289,PPLA3,P,1426
757850,Suchowola,2211,53.57753,23.10596,PPLA3,P,2011
757886,Suchedniów,9184,51.04776,20.82922,PPLA3,P,2610
757894,Sucha,1170,51.61999,20.94887,PPL,P,1401
757905,Styrzyniec,414,52.02335,22.99198,PPL,P,0601
757912,Stupsk,783,53.02258,20.4368,PPLA3,P,1413
757913,Stuposiany,120,49.18813,22.68312,PPL,P,1801
757933,Studzianki Pancerne,190,51.68969,21.32549,PPL,P,1407
757948,Stubno,1400,49.89806,22.95602,PPLA3,P,1813
757953,Strzyżowice,648,51.0483,22.44018,PPLA3,P,0609
757957,Strzyżów,8739,49.87074,21.79413,PPLA2,P,1819
757988,Strzelce Wielkie,835,50.09405,20.58091,PPL,P,1202
757993,Strzegowo,2000,52.89394,20.28548,PPLA3,P,1413
757997,Strzegocice,600,49.95144,21.32189,PPL,P,1803
758013,Stryków,130,51.66042,20.71095,PPL,P,1406
758071,Stromiec,909,51.647,21.09229,PPLA3,P,1401
758079,Stręgoborzyce,420,50.12327,20.29647,PPL,P,1206
758091,Straszydle,2077,49.90038,21.98124,PPL,P,1816
758103,Strachówka,390,52.42692,21.635,PPLA3,P,1434
758110,Strachocina,1100,49.60815,22.08836,PPL,P,1817
758116,Stopnica,1545,50.44018,20.9378,PPLA3,P,2601
758144,Stojowice,425,49.88966,20.05022,PPL,P,1209
758157,Stoczek Łukowski,2718,51.96135,21.97137,PPLA3,P,0611
758162,Stoczek,890,52.54332,21.90013,PPLA3,P,1433
758175,Stężyca,1900,51.58187,21.77087,PPLA3,P,0616
758176,Stężyca Łęczyńska,240,51.04469,23.1245,PPL,P,0606
758182,Sterdyń,814,52.58026,22.29358,PPLA3,P,1429
758234,Stawiszyn,290,51.60053,20.92346,PPL,P,1401
758238,Stawiski,2417,53.37987,22.15462,PPL,P,2006
758242,Stawiguda,1464,53.6572,20.40041,PPL,P,2814
758252,Staszów,16137,50.56307,21.16593,PPLA2,P,2612
758276,Stary Zamość,637,50.82004,23.17154,PPLA3,P,0620
758278,Stary Wiśnicz,1705,49.92548,20.48641,PPL,P,1201
758284,Platerów,798,52.30339,22.81989,PPL,P,1410
758305,Starowiskitki,153,52.08615,20.34891,PPL,P,1438
758310,Starosiedlice,350,51.183,21.21666,PPL,P,1425
758322,Świniary Stare,600,50.53738,21.53089,PPL,P,2609
758327,Stare Miasto,1551,50.28879,22.42928,PPL,P,1808
758332,Stare Juchy,1800,53.92198,22.17367,PPL,P,2805
758366,Stara Wieś,486,50.94367,22.5757,PPL,P,0609
758371,Stara Wieś,3100,49.71505,22.00441,PPL,P,1802
758390,Starachowice,53739,51.0374,21.07126,PPLA2,P,2611
758393,Stąporków,5946,51.13762,20.57173,PPLA3,P,2605
758413,Stanisławów,568,52.41106,20.96397,PPL,P,1408
758414,Stanisławów,262,52.39823,20.57078,PPL,P,1414
758415,Stanisławów Pierwszy,1176,52.37485,21.05184,PPL,P,1408
758416,Stanisławów,2200,52.28937,21.54848,PPLA3,P,1412
758417,Stanisławów,132,52.12958,20.47989,PPL,P,1405
758418,Stanisławów,111,51.8135,22.37014,PPL,P,0615
758419,Stanisławów,121,51.70932,20.94149,PPL,P,1401
758422,Stanisławów,156,51.55028,20.46959,PPL,P,1423
758425,Stanisławów,84,51.31146,23.58756,PPL,P,0619
758426,Stanisławów,117,51.28415,21.06989,PPL,P,1425
758427,Stanisławów,90,51.24349,20.78836,PPL,P,1430
758428,Stanisławów,135,51.08363,22.00913,PPL,P,0612
758429,Stanisławów,107,51.07171,20.03215,PPL,P,2605
758432,Stanisławów,655,50.50911,23.13892,PPL,P,0602
758435,Stanisławice,1300,49.9855,20.35123,PPL,P,1201
758437,Stanin,820,51.87013,22.20234,PPL,P,0611
758445,Stalowa Wola,66495,50.58286,22.05334,PPLA2,P,1818
758467,Srokowo,1400,54.21416,21.52282,PPL,P,2808
758501,Spręcowo,531,53.88012,20.43765,PPL,P,2814
758517,Spiczyn,697,51.34128,22.75354,PPLA3,P,0610
758539,Sosnówka,520,51.75084,23.33814,PPLA3,P,0601
758540,Sosnówka,140,51.74303,21.97163,PPL,P,0616
758541,Sosnówka,308,51.47705,22.31881,PPL,P,0608
758548,Sosnowica,678,51.52065,23.09215,PPLA3,P,0613
758558,Sośnica,1409,49.90083,22.87469,PPL,P,1804
758567,Sorkwity,770,53.84569,21.1401,PPL,P,2810
758574,Sońsk,881,52.78164,20.69901,PPLA3,P,1402
758575,Sonina,2836,50.06089,22.26551,PPL,P,1810
758577,Somianka,510,52.56091,21.29339,PPL,P,1435
758601,Solina,190,49.39489,22.45966,PPL,P,1821
758603,Solec-Zdrój,900,50.36594,20.88956,PPLA3,P,2601
758605,Solec Nad Wisłą,1650,51.13633,21.76563,PPLA3,P,1409
758624,Sokoły,1450,52.99314,22.7005,PPL,P,2013
758626,Sokołów Podlaski,18241,52.40677,22.25307,PPLA2,P,1429
758633,Sokołów Małopolski,3975,50.22909,22.11968,PPLA3,P,1816
758640,Sokołów,268,52.14392,20.86784,PPL,P,1421
758644,Sokolniki Nowe,134,52.67128,20.28153,PPL,P,1420
758646,Sokolniki,1965,50.63803,21.80649,PPL,P,1820
758647,Sokolnik,434,52.13433,21.79233,PPL,P,1412
758651,Sokółka,19079,53.40715,23.50228,PPLA3,P,2011
758681,Sochocin,1945,52.68715,20.47259,PPLA3,P,1420
758682,Sochaczew,38267,52.22944,20.23838,PPLA2,P,1428
758689,Sobótka,230,51.14678,20.69206,PPL,P,2610
758690,Sobótka,630,50.79595,21.6762,PPL,P,2606
758698,Sobolew,240,51.51873,22.47519,PPL,P,0608
758704,Sobków,870,50.69999,20.45062,PPLA3,P,2602
758715,Sobienie Jeziory,700,51.93273,21.30335,PPLA3,P,1417
758722,Sobibór,362,51.47727,23.6376,PPL,P,0619
758746,Śniadowo,1500,53.03874,21.99077,PPL,P,2007
758758,Smyków,330,51.10261,20.01082,PPL,P,2605
758759,Smyków,290,51.04442,20.40032,PPLA3,P,2605
758765,Smyków,627,50.14413,21.12671,PPL,P,1204
758833,Smęgorzów,1305,50.22843,21.00414,PPL,P,1204
758850,Słupno,1500,52.38409,21.15572,PPL,P,1434
758853,Słupiec,1118,50.32787,21.19374,PPL,P,1204
758856,Słupia Nadbrzeżna,80,50.95351,21.79233,PPL,P,2606
758857,Słupia,290,51.0137,20.1406,PPLA3,P,2605
758858,Słupia,642,50.38307,21.03985,PPL,P,2601
758859,Słupia,294,49.81722,20.25664,PPL,P,1207
758863,Słupca,337,52.5873,20.06155,PPL,P,1419
758883,Słotowa,1087,49.94603,21.29425,PPL,P,1803
758887,Słopnice,4601,49.68496,20.34325,PPL,P,1207
758905,Słomniki,4340,50.24012,20.08224,PPLA3,P,1206
758932,Śliwnica,700,49.85591,22.41297,PPL,P,1813
758942,Śledziejowice,901,50.0041,20.08249,PPL,P,1219
758951,Sławno,569,51.38748,21.01187,PPL,P,1425
758952,Sławno,384,51.39273,20.14043,PPLA3,P,1007
758973,Sławatycze,2647,51.76338,23.5546,PPLA3,P,0601
758983,Słaboszów,340,50.38707,20.27424,PPL,P,1208
759007,Skrzyszów,3656,49.99373,21.06139,PPLA3,P,1216
759022,Skrzydlna,1100,49.75343,20.18618,PPL,P,1207
759034,Skruda,103,52.17014,21.88494,PPL,P,1412
759063,Skórzec,278,52.60889,22.59321,PPL,P,2013
759064,Skórzec,969,52.10727,22.13052,PPLA3,P,1426
759092,Skołyszyn,1455,49.74955,21.33665,PPLA3,P,1805
759123,Skierniewice,49042,51.95485,20.15837,PPLA2,P,1063
759127,Skierbieszów,1315,50.85158,23.35917,PPLA3,P,0620
759140,Skarżysko Kościelne,2700,51.13822,20.91196,PPLA3,P,2610
759141,Skarżysko-Kamienna,49410,51.11311,20.87162,PPLA2,P,2610
759151,Skaryszew,4135,51.31075,21.25233,PPLA3,P,1425
759159,Skąpe,190,51.01127,20.09983,PPL,P,2605
759172,Skalbmierz,1291,50.31993,20.39929,PPLA3,P,2603
759190,Sitno,703,50.74944,23.3626,PPLA3,P,0620
759234,Sietesz,1800,49.98622,22.34671,PPL,P,1814
759266,Sieradza,1143,50.13499,20.92947,PPL,P,1216
759275,Sienno,750,51.08773,21.48325,PPLA3,P,1409
759282,Siennica,2600,52.09164,21.61921,PPLA3,P,1412
759301,Sieniawa,2182,50.1779,22.60954,PPLA3,P,1814
759302,Sieniawa,1078,49.56508,21.92785,PPL,P,1807
759316,Siemień,581,51.62883,22.77243,PPLA3,P,0613
759317,Siemiechów,1890,49.85359,20.90595,PPL,P,1216
759320,Siemiatycze,15421,52.42719,22.86231,PPLA3,P,2010
759325,Siemiątkowo,432,52.8811,20.02893,PPLA3,P,1437
759380,Siedliszcze,860,51.28146,23.63674,PPL,P,0619
759390,Siedliska,328,52.06526,21.05195,PPL,P,1418
759398,Siedliska,1700,49.95409,21.94742,PPL,P,1816
759399,Siedliska,2351,49.87163,20.99625,PPL,P,1216
759407,Siedlec,318,50.07598,20.88896,PPL,P,1216
759409,Siedleczka,1152,49.96061,22.37949,PPL,P,1814
759411,Siedlec,779,49.95415,20.31947,PPL,P,1201
759412,Siedlce,77185,52.16772,22.29006,PPL,P,1464
759413,Siedlce,610,50.74345,20.49259,PPL,P,2604
759414,Siedlce,714,49.68784,20.77609,PPL,P,1210
759422,Sieciechów,430,51.5371,21.74469,PPL,P,1407
759426,Sidra,730,53.55244,23.44954,PPL,P,2011
759466,Serokomla,1060,51.7007,22.33237,PPL,P,0611
759470,Serock,4023,52.51036,21.0691,PPLA3,P,1408
759472,Serniki,382,51.43716,22.65853,PPLA3,P,0608
759482,Sępopol,2043,54.26903,21.01453,PPLA3,P,2801
759495,Sękowa,1477,49.62217,21.19769,PPL,P,1205
759503,Sejny,5872,54.10802,23.34698,PPLA3,P,2009
759504,Sędziszów Małopolski,7096,50.07069,21.70062,PPLA3,P,1815
759507,Sędziszów,6771,50.5659,20.05563,PPLA3,P,2602
759574,Sarnów,1000,51.8572,22.30199,PPL,P,0611
759579,Sarnaki,1194,52.31504,22.89044,PPL,P,1410
759591,Sanok,39684,49.55573,22.2056,PPLA2,P,1817
759603,Sandomierz,25087,50.68265,21.74898,PPLA2,P,2609
759631,Samborzec,475,50.64663,21.64822,PPLA3,P,2609
759678,Sadowne,1200,52.64124,21.84563,PPLA3,P,1433
759680,Sadowie,600,50.85261,21.36884,PPLA3,P,2606
759682,Sadowie,217,50.18097,20.06498,PPL,P,1206
759689,Sadkowice,570,51.72517,20.51465,PPLA3,P,1013
759690,Sadkowice,300,51.10169,21.75018,PPL,P,1409
759704,Sabnie,369,52.50097,22.30697,PPLA3,P,1429
759722,Rzezawa,2500,49.98997,20.51508,PPLA3,P,1201
759726,Rzewnie,293,52.83508,21.33682,PPLA3,P,1411
759734,Rzeszów,198317,50.04132,21.99901,PPLA,P,1863
759749,Rzepin Pierwszy,600,50.98307,21.07624,PPL,P,2611
759751,Rzepiennik Strzyżewski,1324,49.80542,21.03599,PPLA3,P,1216
759752,Rzepiennik Marciszewski,720,49.83067,21.00414,PPL,P,1216
759754,Rzepedź,1400,49.36997,22.11174,PPL,P,1817
759757,Rzekuń,1800,53.04756,21.62069,PPLA3,P,1415
759770,Rzeczyca Ziemiańska,1000,50.84362,22.18474,PPL,P,0607
759778,Rzeczyca,1500,51.96225,22.74942,PPL,P,0601
759779,Rzeczyca,1589,51.59824,20.29484,PPLA3,P,1016
759786,Rzeczniów,673,51.12804,21.44008,PPLA3,P,1409
759787,Rzeczków,562,51.26691,21.06002,PPL,P,1425
759800,Rząśnik,264,52.94393,21.99523,PPL,P,1416
759802,Rząśnik,1600,52.71332,21.36772,PPL,P,1435
759814,Rytwiany,1821,50.5292,21.20636,PPLA3,P,2612
759839,Ryn,2992,53.9377,21.54642,PPLA3,P,2806
759843,Rymanów,3583,49.57649,21.86811,PPLA3,P,1807
759851,Ryki Borkowo,75,53.31519,20.73017,PPL,P,2811
759852,Ryki,9619,51.62574,21.93274,PPLA2,P,0616
759853,Ryki,136,51.56064,20.94286,PPL,P,1401
759859,Ryglice,2802,49.87887,21.13748,PPLA3,P,1216
759875,Ryczywół,1300,51.69118,21.42197,PPL,P,1407
759885,Rychwałd,680,49.90658,20.93822,PPL,P,1216
759892,Rybno,440,53.75982,21.13727,PPL,P,2810
759893,Rybno,49,53.11896,22.18603,PPL,P,2007
759894,Rybno,526,52.56884,21.4078,PPL,P,1435
759895,Rybno,607,52.24278,20.10301,PPLA3,P,1428
759915,Rybie,4100,52.15229,20.93655,PPL,P,1421
759922,Rybczewice,840,51.02876,22.85053,PPLA3,P,0617
759947,Rutka Tartak,481,54.32298,22.97241,PPL,P,2012
759958,Ruszelczyce,556,49.81079,22.52,PPL,P,1813
759981,Rusinów,751,51.43678,20.58701,PPLA3,P,1423
759982,Rusinów,163,51.27754,20.6809,PPL,P,1423
759983,Rusinów,238,50.37278,21.85121,PPL,P,1806
760019,Rudy-Rysie,704,50.06122,20.63816,PPL,P,1202
760047,Rudnik,229,52.19624,22.66947,PPL,P,1410
760048,Rudnik Duży,132,51.98699,21.91618,PPL,P,1426
760049,Rudnik,175,51.9622,21.45347,PPL,P,1417
760052,Rudnik,373,51.00025,21.23013,PPL,P,2611
760053,Rudnik Pierwszy,827,50.96167,22.4394,PPL,P,0607
760054,Rudnik,543,50.88035,22.97293,PPLA3,P,0606
760055,Rudnik nad Sanem,6770,50.44152,22.24856,PPLA3,P,1812
760056,Rudnik,262,49.91807,20.08704,PPL,P,1209
760062,Rudna Wielka,1318,50.08799,21.94759,PPL,P,1816
760063,Rudna Mała,1023,50.09889,21.96021,PPL,P,1816
760084,Rudka,1400,52.72439,22.72676,PPL,P,2003
760123,Ruda Maleniecka,610,51.14592,20.22377,PPLA3,P,2605
760166,Ruciane-Nida,4722,53.64161,21.53964,PPLA3,P,2816
760182,Rożwienica,720,49.95277,22.59424,PPL,P,1804
760203,Rozogi,1418,53.48549,21.36223,PPL,P,2817
760215,Rożniatów,681,49.97838,22.51528,PPL,P,1814
760237,Rozbórz,2005,50.05615,22.54686,PPL,P,1814
760245,Różanna,375,51.37757,20.31664,PPL,P,1007
760254,Siennica Różana,1000,51.00123,23.3226,PPLA3,P,0606
760255,Różan,2619,52.88757,21.39105,PPLA3,P,1411
760343,Ropczyce,15279,50.05229,21.60891,PPLA2,P,1815
760347,Ropa,3959,49.59146,21.04431,PPL,P,1205
760353,Romaszki,463,51.82146,23.05249,PPL,P,0601
760395,Rokitno,747,52.12142,23.29514,PPLA3,P,0601
760396,Rokitno,400,51.39637,22.68866,PPL,P,0608
760397,Rokitno,260,50.47897,23.7957,PPL,P,0618
760404,Rokietnica,2500,49.89983,22.64171,PPLA3,P,1804
760413,Rogóźno,230,51.38673,22.96984,PPL,P,0610
760414,Rogóźno,1153,50.46417,23.39041,PPL,P,0618
760415,Rogóźno,1200,50.07367,22.37486,PPL,P,1810
760421,Rogóźno,118,52.78257,21.35837,PPL,P,1435
760432,Rogowo,363,53.13544,22.89946,PPL,P,2002
